Longitude,Latitude,OBJECTID,STSSN_ID,YEAR_,MONTH_,DAY_,Commonname,County,CONDITION,CLSL,CWSL,CLOC,CWOC
-80.10000266,26.03830476,36806,SXW1988091401,1988,9,14,Leatherback,Broward,Alive,0,0,14.5,11.5
-80.55170286,28.39170533,36807,CMM1988091501,1988,9,15,Loggerhead,Brevard,Fresh dead,0,0,83.8,83.8
-81.39340318,30.31670576,36808,LEB1988091501,1988,9,15,Loggerhead,Duval,Fresh dead,0,0,63,61
-80.29530276,27.48330511,36809,REM1988091501,1988,9,15,Kemp's ridley,St. Lucie,Moderately decomposed,40.2,36.7,41.5,42.8
-81.39760318,30.37330578,36810,RGH1988091501,1988,9,15,Kemp's ridley,Duval,Fresh dead,40.6,42.6,46,47.9
-81.25420312,29.77670564,36811,WJH1988091501,1988,9,15,Loggerhead,St. Johns,Severely decomposed,0,0,71.1,68.6
-81.39640318,30.34170577,36812,LEB1988091601,1988,9,16,Loggerhead,Duval,Moderately decomposed,0,0,62,59
-81.39640318,30.34170577,36813,LEB1988091602,1988,9,16,Loggerhead,Duval,Moderately decomposed,0,0,69,68
-80.15670271,27.15670503,36814,REM1988091601,1988,9,16,Loggerhead,Martin,Severely decomposed,0,0,73,69.2
-81.28930313,29.91670567,36815,WJH1988091601,1988,9,16,Loggerhead,St. Johns,Severely decomposed,0,0,78.7,76.2
-81.14150307,29.51140558,36816,EHO1988091801,1988,9,18,Loggerhead,Flagler,Severely decomposed,66.4,56.8,70.5,63
-81.14570307,29.51950558,36817,EHO1988091802,1988,9,18,Loggerhead,Flagler,Severely decomposed,76.4,62.7,83.5,80
-80.19670272,27.18000504,36818,LEJ1988091801,1988,9,18,Loggerhead,Martin,Moderately decomposed,68.6,48.3,0,0
-80.10920266,26.08670477,36819,EAC1988092001,1988,9,20,Green turtle,Broward,Fresh dead,0,0,31.8,27.9
-81.39390318,30.32000576,36820,RWK1988092001,1988,9,20,Loggerhead,Duval,Alive,0,0,0,0
-80.33500271,25.4614046,36821,RXR1988092001,1988,9,20,Green turtle,Miami-Dade,Moderately decomposed,0,0,65,55
-81.26150312,29.80830565,36822,WJH1988092001,1988,9,20,Loggerhead,St. Johns,Severely decomposed,0,0,73.7,68.6
-80.24080274,27.35500508,36823,DSF1988092101,1988,9,21,Loggerhead,St. Lucie,Moderately decomposed,0,0,89,82.5
-81.15200308,29.53180559,36824,EHO1988092101,1988,9,21,Loggerhead,Flagler,Fresh dead,62,49.8,64.5,62
-81.32070314,30.0167057,36825,WJH1988092101,1988,9,21,Loggerhead,St. Johns,Severely decomposed,0,0,0,0
-80.17500271,27.17500504,36826,CLK1988092201,1988,9,22,Loggerhead,Martin,Alive,74.4,56.7,82,73.3
-80.91930299,29.08000548,36827,DTG1988092201,1988,9,22,Loggerhead,Volusia,Fresh dead,0,0,64.8,62.2
-82.73620347,27.6833051,36828,KAK1988092201,1988,9,22,Kemp's ridley,Pinellas,Dried carcass,39,36,0,0
-82.74000348,27.71670511,36829,BAL1988092301,1988,9,23,Loggerhead,Pinellas,Severely decomposed,0,0,100.3,91.4
-81.14250307,29.51330558,36830,EHO1988092302,1988,9,23,Loggerhead,Flagler,Severely decomposed,60.4,53.1,63.5,61
-81.12940307,29.48670558,36831,EHO1988092303,1988,9,23,Loggerhead,Flagler,Severely decomposed,63.2,54.6,68,66
-81.12620307,29.48000557,36832,EHO1988092304,1988,9,23,Loggerhead,Flagler,Moderately decomposed,62,53.3,65.5,65
-81.4429032,30.56670582,36833,PBS1988092301,1988,9,23,Loggerhead,Nassau,Fresh dead,0,0,72.5,69
-82.52330341,27.68830511,36834,AXL1988092401,1988,9,24,Kemp's ridley,Hillsborough,Dried carcass,0,0,0,0
-81.4429032,30.56670582,36835,CGJ1988092401,1988,9,24,Loggerhead,Nassau,Severely decomposed,56.2,47.6,0,0
-80.91500287,24.78670442,36836,DRC1988092401,1988,9,24,Loggerhead,Monroe,Alive,0,0,0,0
-80.11290266,26.04330476,36837,RXW1988092401,1988,9,24,Loggerhead,Broward,Moderately decomposed,0,0,100.5,92
